date,price_bitcoin,price_gold,price_sp500,change_bitcoin,change_gold,vix,interest_rate,cpi,inflation
2015-01-02,315,1186,2058,0.1,0.18,17.79,0.01,234.82,0.76
2015-01-05,275,1204,2021,3.82,1.5,19.92,0.0,234.84,0.76
2015-01-06,282,1219,2003,2.7,1.28,21.12,0.02,234.84,0.76
2015-01-07,291,1211,2026,3.21,-0.71,19.31,0.02,234.84,0.76
2015-01-08,283,1208,2062,-2.97,-0.18,17.01,0.02,234.85,0.76
2015-01-09,288,1216,2045,1.87,0.63,17.55,0.01,234.85,0.76
2015-01-12,269,1233,2028,1.72,1.37,19.6,0.01,234.87,0.76
2015-01-13,221,1234,2023,-17.84,0.13,20.56,0.02,234.87,0.76
2015-01-14,165,1234,2011,-25.47,0.01,21.48,0.03,234.88,0.76
2015-01-15,210,1265,1993,27.2,2.45,22.39,0.02,234.88,0.76
2015-01-16,207,1277,2019,-1.36,0.96,20.95,0.02,234.89,0.76
2015-01-19,216,1294,2019,2.49,1.35,,,234.9,0.76
2015-01-21,228,1294,2032,8.37,-0.04,18.85,0.02,234.91,0.76
2015-01-22,233,1301,2063,1.99,0.54,16.4,0.01,234.92,0.76
2015-01-23,232,1293,2052,-0.23,-0.62,16.66,0.01,234.92,0.76
2015-01-26,269,1279,2057,6.78,-1.02,15.52,0.0,234.93,0.76
2015-01-27,263,1292,2030,-2.2,0.96,17.22,0.02,234.94,0.76
2015-01-28,236,1286,2002,-10.29,-0.45,20.44,0.01,234.94,0.76
2015-01-29,234,1256,2021,-0.92,-2.33,18.76,0.01,234.95,0.76
2015-01-30,232,1279,1995,-0.92,1.86,20.97,0.0,234.95,0.76
2015-02-02,239,1277,2021,6.02,-0.18,19.43,0.0,234.97,0.76
2015-02-03,227,1260,2050,-4.79,-1.3,17.33,0.01,234.97,0.76
2015-02-04,227,1264,2042,-0.36,0.33,18.33,0.0,234.98,0.76
2015-02-05,216,1263,2063,-4.44,-0.14,16.85,0.01,234.98,0.76
2015-02-06,223,1235,2055,2.97,-2.23,17.29,0.01,234.99,0.76
2015-02-09,220,1242,2047,-1.49,0.56,18.55,0.0,235.0,0.76
2015-02-10,220,1232,2069,-0.3,-0.75,17.23,0.0,235.0,0.76
2015-02-11,219,1220,2069,-0.38,-1.02,16.96,0.0,235.01,0.76
2015-02-12,222,1221,2088,1.35,0.09,15.34,0.01,235.01,0.76
2015-02-13,236,1227,2097,6.48,0.52,14.69,0.0,235.02,0.76
2015-02-16,236,1209,2097,1.1,-1.51,,,235.03,0.76
2015-02-18,235,1200,2100,-3.29,-0.7,15.45,0.01,235.04,0.76
2015-02-19,242,1208,2097,2.86,0.62,15.29,0.01,235.05,0.76
2015-02-20,244,1205,2110,1.07,-0.22,14.3,0.01,235.05,0.76
2015-02-23,239,1201,2110,1.31,-0.34,14.56,0.01,235.07,0.76
2015-02-24,239,1197,2115,0.03,-0.29,13.69,0.02,235.07,0.76
2015-02-25,237,1202,2114,-0.65,0.35,13.84,0.01,235.07,0.76
2015-02-26,236,1210,2111,-0.34,0.72,13.91,0.01,235.08,0.76
2015-02-27,254,1213,2104,7.16,0.25,13.34,0.01,235.08,0.76
2015-03-02,274,1208,2117,6.13,-0.4,13.04,0.0,235.1,0.76
2015-03-03,281,1204,2108,2.52,-0.31,13.86,0.01,235.1,0.76
2015-03-04,272,1201,2099,-3.11,-0.29,14.23,0.01,235.11,0.76
2015-03-05,275,1196,2101,1.22,-0.39,14.04,0.0,235.11,0.76
2015-03-06,273,1164,2071,-0.97,-2.67,15.2,0.0,235.12,0.76
2015-03-09,290,1166,2079,5.66,0.19,15.06,0.0,235.13,0.76
2015-03-10,291,1160,2044,0.47,-0.55,16.69,0.01,235.14,0.76
2015-03-11,296,1151,2040,1.45,-0.82,16.87,0.01,235.14,0.76
2015-03-12,294,1152,2066,-0.59,0.11,15.42,0.02,235.15,0.76
2015-03-13,287,1152,2053,-2.26,0.04,16.0,0.02,235.15,0.76
2015-03-16,290,1153,2081,1.94,0.07,15.61,0.03,235.16,0.76
2015-03-17,285,1148,2074,-1.73,-0.43,15.66,0.05,235.17,0.76
2015-03-18,256,1151,2100,-10.32,0.27,13.97,0.04,235.17,0.76
2015-03-19,261,1169,2089,1.96,1.54,14.07,0.01,235.18,0.76
2015-03-20,262,1185,2108,0.33,1.33,13.02,0.0,235.18,0.76
2015-03-23,266,1188,2104,-1.16,0.26,13.41,0.0,235.2,0.76
2015-03-24,247,1191,2092,-7.06,0.31,13.62,0.01,235.2,0.76
2015-03-25,246,1197,2061,-0.14,0.47,15.44,0.02,235.21,0.76
2015-03-26,248,1205,2056,0.67,0.65,15.8,0.03,235.21,0.76
2015-03-27,247,1200,2061,-0.33,-0.42,15.07,0.03,235.22,0.76
2015-03-30,247,1185,2086,1.95,-1.21,14.51,0.02,235.23,0.76
2015-03-31,244,1183,2068,-1.07,-0.18,15.29,0.03,235.23,0.76
2015-04-01,246,1208,2060,0.86,2.11,15.11,0.03,235.24,0.76
2015-04-02,253,1201,2067,2.58,-0.6,14.67,0.01,235.24,0.76
2015-04-06,255,1219,2081,-1.8,1.47,14.74,0.0,235.26,0.76
2015-04-07,253,1211,2076,-0.78,-0.66,14.78,0.01,235.27,0.76
2015-04-08,245,1203,2082,-3.32,-0.62,13.98,0.02,235.27,0.76
2015-04-09,243,1194,2091,-0.51,-0.79,13.09,0.02,235.28,0.76
2015-04-10,235,1205,2102,-3.53,0.92,12.58,0.01,235.28,0.76
2015-04-13,224,1199,2092,-5.2,-0.44,13.94,0.0,235.3,0.76
2015-04-14,218,1193,2096,-2.5,-0.56,13.67,0.01,235.3,0.76
2015-04-15,223,1201,2107,2.28,0.73,12.84,0.01,235.3,0.76
2015-04-16,228,1198,2105,2.25,-0.27,12.6,0.01,235.31,0.76
2015-04-17,223,1203,2081,-2.36,0.43,13.89,0.01,235.31,0.76
2015-04-20,224,1194,2100,0.55,-0.78,13.3,0.01,235.33,0.76
2015-04-21,234,1203,2097,4.23,0.79,13.25,0.02,235.33,0.76
2015-04-22,234,1187,2108,0.02,-1.35,12.71,0.02,235.34,0.76
2015-04-23,235,1194,2113,0.69,0.62,12.48,0.02,235.34,0.76
2015-04-24,231,1175,2118,-1.83,-1.62,12.29,0.01,235.35,0.76
2015-04-27,229,1203,2109,4.69,2.4,13.12,0.01,235.36,0.76
2015-04-28,226,1214,2115,-1.38,0.89,12.41,0.01,235.37,0.76
2015-04-29,225,1210,2107,-0.17,-0.32,13.39,0.0,235.37,0.76
2015-04-30,236,1182,2086,4.59,-2.28,14.55,0.0,235.38,0.76
2015-05-01,233,1174,2108,-1.09,-0.67,12.7,0.0,235.38,0.76
2015-05-04,239,1187,2114,-0.43,1.05,12.85,0.0,235.39,0.76
2015-05-05,236,1193,2089,-1.32,0.54,14.31,0.01,235.4,0.76
2015-05-06,230,1190,2080,-2.46,-0.24,15.15,0.01,235.4,0.76
2015-05-07,238,1182,2088,3.35,-0.68,15.13,0.0,235.41,0.76
2015-05-08,244,1189,2116,2.53,0.57,12.86,0.0,235.41,0.76
2015-05-11,242,1183,2105,0.77,-0.5,13.85,0.0,235.43,0.76
2015-05-12,242,1192,2099,-0.1,0.79,13.86,0.01,235.43,0.76
2015-05-13,236,1218,2098,-2.15,2.16,13.76,0.01,235.44,0.76
2015-05-14,237,1225,2121,0.22,0.57,12.74,0.01,235.44,0.76
2015-05-15,237,1225,2123,0.13,0.01,12.38,0.01,235.45,0.76
2015-05-18,233,1228,2129,-1.55,0.19,12.73,0.01,235.46,0.76
2015-05-19,232,1207,2128,-0.27,-1.7,12.85,0.01,235.46,0.76
2015-05-20,234,1209,2126,0.84,0.17,12.88,0.01,235.47,0.76
2015-05-21,235,1204,2131,0.61,-0.38,12.11,0.01,235.47,0.76
2015-05-22,240,1204,2126,2.12,-0.01,12.13,0.01,235.48,0.76
2015-05-25,237,1187,2126,-1.48,-1.42,,,235.49,0.76
